iter	Passed	Remaining
400	12614	18842
401	12644	18808
402	12674	18775
403	12706	18745
404	12744	18723
405	12774	18689
406	12806	18658
407	12834	18622
408	12860	18583
409	12891	18551
410	12919	18514
411	12950	18482
412	12983	18453
413	13014	18421
414	13048	18394
415	13087	18372
416	13121	18345
417	13154	18316
418	13183	18280
419	13212	18246
420	13241	18210
421	13271	18177
422	13301	18144
423	13330	18109
424	13406	18138
425	13428	18094
426	13458	18060
427	13484	18021
428	13508	17980
429	13536	17944
430	13561	17903
431	13587	17865
432	13615	17828
433	13642	17791
434	13674	17760
435	13700	17722
436	13727	17685
437	13758	17653
438	13793	17626
439	13818	17587
440	13847	17552
441	13875	17517
442	13904	17483
443	13930	17443
444	13962	17414
445	13990	17378
446	14021	17345
447	14048	17309
448	14078	17276
449	14102	17236
450	14129	17200
451	14158	17165
452	14189	17133
453	14215	17096
454	14241	17058
455	14270	17024
456	14300	16991
457	14325	16952
458	14380	16949
459	14405	16910
460	14431	16873
461	14459	16838
462	14487	16802
463	14512	16764
464	14542	16731
465	14569	16695
466	14599	16662
467	14630	16631
468	14658	16596
469	14690	16566
470	14717	16529
471	14749	16498
472	14774	16461
473	14806	16430
474	14838	16400
475	14884	16385
476	14909	16347
477	14939	16314
478	14965	16277
479	14992	16242
480	15025	16212
481	15058	16183
482	15086	16148
483	15112	16111
484	15139	16075
485	15167	16040
486	15194	16005
487	15221	15970
488	15250	15936
489	15281	15905
490	15309	15870
491	15338	15837
492	15370	15807
493	15400	15774
494	15427	15739
495	15454	15703
496	15484	15671
497	15515	15639
498	15546	15608
499	15583	15583
500	15613	15551
501	15645	15520
502	15677	15490
503	15709	15459
504	15747	15435
505	15776	15401
506	15805	15369
507	15835	15336
508	15862	15302
509	15892	15269
510	15919	15233
511	15948	15200
512	15974	15164
513	16001	15129
514	16031	15097
515	16059	15063
516	16088	15030
517	16117	14997
518	16142	14960
519	16171	14927
520	16201	14895
521	16233	14865
522	16261	14830
523	16290	14798
524	16318	14764
525	16350	14734
526	16381	14702
527	16414	14673
528	16444	14641
529	16473	14608
530	16501	14574
531	16530	14542
532	16559	14508
533	16585	14473
534	16615	14441
535	16647	14410
536	16676	14378
537	16703	14343
538	16731	14310
539	16766	14282
540	16793	14247
541	16821	14214
542	16852	14183
543	16882	14151
544	16910	14118
545	16939	14085
546	16964	14049
547	16992	14015
548	17018	13980
549	17050	13950
550	17076	13915
551	17104	13881
552	17134	13850
553	17174	13826
554	17204	13794
555	17238	13766
556	17266	13732
557	17289	13694
558	17313	13659
559	17343	13626
560	17370	13592
561	17402	13562
562	17435	13533
563	17468	13504
564	17502	13475
565	17533	13444
566	17567	13415
567	17596	13383
568	17625	13350
569	17657	13320
570	17690	13290
571	17718	13257
572	17745	13223
573	17773	13190
574	17832	13180
575	17860	13146
576	17890	13115
577	17919	13083
578	17945	13048
579	17975	13017
580	18005	12984
581	18033	12951
582	18059	12917
583	18088	12885
584	18119	12854
585	18148	12821
586	18175	12787
587	18202	12754
588	18230	12721
589	18260	12689
590	18287	12655
591	18314	12622
592	18344	12590
593	18383	12565
594	18408	12530
595	18439	12498
596	18466	12465
597	18495	12433
598	18525	12402
599	18557	12371
600	18592	12343
601	18624	12313
602	18651	12279
603	18682	12248
604	18711	12216
605	18740	12184
606	18770	12152
607	18802	12122
608	18832	12090
609	18862	12059
610	18889	12026
611	18919	11994
612	18944	11959
613	18970	11926
614	19001	11895
615	19028	11861
616	19060	11831
617	19092	11801
618	19119	11768
619	19149	11736
620	19176	11703
621	19206	11672
622	19241	11643
623	19270	11611
624	19298	11579
625	19331	11549
626	19361	11518
627	19390	11486
628	19423	11456
629	19455	11426
630	19487	11395
631	19518	11364
632	19545	11331
633	19573	11299
634	19604	11268
635	19632	11236
636	19663	11205
637	19693	11174
638	19718	11139
639	19766	11118
640	19798	11088
641	19828	11057
642	19852	11022
643	19878	10988
644	19904	10955
645	19933	10923
646	19960	10890
647	19987	10857
648	20015	10825
649	20049	10796
650	20080	10764
651	20110	10733
652	20143	10704
653	20175	10673
654	20209	10644
655	20239	10613
656	20280	10587
657	20309	10556
658	20342	10526
659	20371	10494
660	20401	10463
661	20431	10431
662	20460	10400
663	20489	10367
664	20518	10336
665	20545	10303
666	20572	10270
667	20599	10237
668	20627	10205
669	20654	10173
670	20687	10143
671	20716	10111
672	20743	10078
673	20772	10047
674	20803	10016
675	20833	9985
676	20861	9953
677	20888	9920
678	20919	9889
679	20947	9857
680	20980	9827
681	21005	9794
682	21028	9760
683	21118	9756
684	21158	9729
685	21196	9702
686	21225	9670
687	21252	9637
688	21277	9604
689	21309	9573
690	21337	9541
691	21365	9509
692	21396	9478
693	21425	9447
694	21454	9415
695	21482	9383
696	21512	9351
697	21539	9319
698	21566	9286
699	21598	9256
700	21628	9225
701	21655	9192
702	21683	9160
703	21713	9129
704	21741	9097
705	21770	9065
706	21803	9035
707	21832	9004
708	21859	8972
709	21887	8939
710	21915	8908
711	21942	8875
712	21971	8844
713	21997	8811
714	22027	8780
715	22053	8747
716	22081	8715
717	22113	8685
718	22153	8657
719	22182	8626
720	22213	8595
721	22239	8563
722	22267	8531
723	22293	8498
724	22319	8466
725	22345	8433
726	22374	8402
727	22401	8369
728	22431	8338
729	22461	8307
730	22488	8275
731	22519	8244
732	22548	8213
733	22577	8181
734	22607	8151
735	22638	8120
736	22668	8089
737	22697	8057
738	22727	8026
739	22758	7996
740	22786	7964
741	22813	7932
742	22840	7900
743	22869	7868
744	22897	7837
745	22927	7806
746	22957	7775
747	22986	7744
748	23013	7712
749	23042	7680
750	23070	7649
751	23106	7620
752	23137	7589
753	23165	7558
754	23195	7526
755	23220	7494
756	23251	7463
757	23280	7432
758	23309	7401
759	23340	7370
760	23366	7338
761	23394	7307
762	23421	7274
763	23449	7243
764	23476	7211
765	23499	7178
766	23530	7148
767	23559	7116
768	23589	7086
769	23617	7054
770	23653	7025
771	23681	6994
772	23711	6963
773	23739	6931
774	23769	6900
775	23797	6869
776	23825	6838
777	23852	6806
778	23878	6774
779	23909	6743
780	23937	6712
781	23969	6682
782	23999	6651
783	24028	6620
784	24055	6588
785	24081	6556
786	24108	6525
787	24138	6494
788	24167	6462
789	24196	6431
790	24224	6400
791	24256	6370
