iter	Passed	Remaining
401	17528	26074
402	17569	26027
403	17607	25976
404	17656	25939
405	17693	25886
406	17730	25832
407	17769	25783
408	17806	25729
409	17850	25687
410	17887	25633
411	17923	25579
412	17961	25528
413	17999	25477
414	18045	25437
415	18078	25379
416	18113	25324
417	18148	25268
418	18185	25217
419	18230	25175
420	18265	25120
421	18303	25069
422	18343	25021
423	18384	24975
424	18437	24944
425	18484	24906
426	18549	24892
427	18596	24853
428	18647	24819
429	18687	24771
430	18724	24719
431	18765	24673
432	18816	24640
433	18879	24622
434	18920	24575
435	18958	24524
436	18991	24467
437	19031	24419
438	19079	24381
439	19118	24332
440	19206	24345
441	19258	24313
442	19298	24264
443	19336	24213
444	19372	24160
445	19414	24115
446	19457	24071
447	19500	24026
448	19541	23980
449	19588	23941
450	19649	23919
451	19701	23885
452	19743	23840
453	19781	23790
454	19819	23739
455	19861	23694
456	19908	23655
457	19947	23606
458	19986	23556
459	20049	23536
460	20099	23500
461	20144	23458
462	20181	23407
463	20221	23359
464	20261	23311
465	20307	23270
466	20346	23221
467	20384	23171
468	20427	23128
469	20484	23099
470	20531	23059
471	20572	23012
472	20612	22965
473	20661	22927
474	20700	22879
475	20738	22829
476	20781	22785
477	20840	22759
478	20895	22727
479	20939	22683
480	20976	22633
481	21014	22583
482	21060	22543
483	21102	22497
484	21140	22448
485	21176	22396
486	21216	22348
487	21261	22307
488	21302	22261
489	21344	22216
490	21386	22170
491	21435	22132
492	21488	22098
493	21528	22051
494	21568	22003
495	21606	21954
496	21647	21908
497	21694	21868
498	21734	21821
499	21803	21803
500	21857	21770
501	21894	21720
502	21936	21674
503	21978	21630
504	22021	21585
505	22067	21543
506	22113	21503
507	22154	21456
508	22193	21408
509	22231	21360
510	22274	21315
511	22318	21271
512	22360	21226
513	22402	21182
514	22445	21138
515	22495	21100
516	22553	21070
517	22637	21063
518	22698	21036
519	22758	21007
520	22798	20960
521	22836	20911
522	22876	20864
523	22919	20819
524	22968	20780
525	23007	20732
526	23047	20685
527	23095	20645
528	23137	20600
529	23191	20566
530	23241	20527
531	23282	20481
532	23329	20440
533	23382	20405
534	23431	20366
535	23479	20325
536	23522	20280
537	23586	20254
538	23638	20217
539	23687	20178
540	23735	20138
541	23785	20099
542	23826	20052
543	23867	20006
544	23904	19957
545	23960	19923
546	24001	19877
547	24041	19829
548	24083	19784
549	24124	19738
550	24172	19697
551	24221	19657
552	24269	19617
553	24321	19579
554	24371	19541
555	24412	19495
556	24460	19454
557	24503	19409
558	24547	19365
559	24591	19321
560	24642	19283
561	24682	19236
562	24722	19189
563	24762	19142
564	24806	19099
565	24857	19060
566	24900	19015
567	24942	18970
568	24984	18925
569	25030	18882
570	25083	18845
571	25127	18802
572	25168	18755
573	25229	18723
574	25272	18679
575	25315	18634
576	25368	18598
577	25422	18560
578	25463	18515
579	25505	18469
580	25544	18421
581	25595	18383
582	25633	18334
583	25673	18288
584	25713	18241
585	25753	18194
586	25795	18149
587	25852	18114
588	25929	18093
589	25994	18064
590	26069	18041
591	26156	18026
592	26228	18001
593	26298	17975
594	26351	17936
595	26399	17895
596	26458	17860
597	26509	17820
598	26555	17777
599	26597	17731
600	26650	17692
601	26699	17651
602	26739	17604
603	26791	17565
604	26833	17519
605	26874	17473
606	26914	17425
607	26956	17380
608	26988	17327
609	27026	17279
610	27080	17240
611	27117	17192
612	27166	17151
613	27221	17113
614	27261	17066
615	27303	17020
616	27346	16975
617	27389	16929
618	27435	16886
619	27479	16842
620	27524	16798
621	27562	16750
622	27615	16711
623	27658	16665
624	27692	16615
625	27735	16570
626	27780	16526
627	27831	16486
628	27869	16438
629	27909	16391
630	27950	16344
631	27994	16300
632	28039	16256
633	28079	16210
634	28130	16169
635	28190	16134
636	28243	16094
637	28288	16051
638	28325	16002
639	28377	15962
640	28417	15915
641	28456	15868
642	28502	15824
643	28559	15787
644	28602	15742
645	28643	15696
646	28682	15649
647	28731	15607
648	28770	15559
649	28821	15519
650	28873	15478
651	28923	15437
652	28967	15392
653	29007	15346
654	29051	15301
655	29097	15258
656	29157	15222
657	29204	15179
658	29244	15132
659	29282	15084
660	29322	15038
661	29365	14993
662	29414	14951
663	29452	14903
664	29492	14857
665	29532	14810
666	29606	14780
667	29668	14745
668	29716	14702
669	29764	14660
670	29808	14615
671	29849	14569
672	29886	14521
673	29937	14480
674	29977	14433
675	30023	14390
676	30064	14344
677	30112	14301
678	30155	14256
679	30195	14209
680	30241	14165
681	30289	14123
682	30347	14084
683	30391	14040
684	30432	13994
685	30477	13950
686	30526	13908
687	30571	13863
688	30614	13818
689	30656	13773
690	30697	13727
691	30746	13684
692	30786	13638
693	30826	13591
694	30860	13543
695	30897	13495
696	30941	13451
697	30989	13408
698	31042	13367
699	31108	13332
700	31167	13294
701	31209	13248
702	31274	13212
703	31338	13176
704	31387	13133
705	31447	13095
706	31508	13057
707	31570	13020
708	31613	12975
709	31673	12936
710	31726	12895
711	31783	12856
712	31848	12819
713	31920	12785
714	31980	12747
715	32045	12710
716	32093	12667
717	32156	12629
718	32211	12589
719	32276	12551
720	32321	12507
721	32378	12466
722	32443	12429
723	32499	12389
724	32555	12348
725	32601	12304
726	32658	12263
727	32721	12225
728	32778	12185
729	32838	12145
730	32908	12109
731	32967	12070
732	33026	12030
733	33070	11984
734	33131	11945
735	33186	11903
736	33236	11860
737	33291	11818
738	33339	11774
739	33392	11732
740	33439	11687
741	33490	11644
742	33549	11604
743	33607	11563
744	33650	11517
745	33715	11479
746	33765	11435
747	33827	11396
748	33888	11356
749	33934	11311
750	34007	11275
751	34058	11232
752	34129	11195
753	34202	11159
754	34268	11120
755	34346	11085
756	34419	11048
757	34479	11008
758	34548	10969
759	34602	10927
760	34670	10888
761	34718	10843
762	34782	10803
763	34845	10763
764	34896	10719
765	34937	10672
766	35003	10633
767	35057	10590
768	35120	10549
769	35176	10507
770	35232	10464
771	35303	10426
772	35364	10385
773	35414	10340
774	35480	10300
775	35542	10259
776	35596	10216
777	35643	10170
778	35694	10126
779	35753	10084
780	35809	10041
781	35865	9998
782	35916	9953
783	35977	9912
784	36028	9867
785	36080	9823
786	36137	9780
787	36201	9739
788	36269	9699
789	36323	9655
790	36390	9615
791	36454	9573
792	36515	9531
793	36569	9487
794	36621	9443
795	36683	9401
796	36729	9355
797	36791	9313
798	36857	9271
799	36908	9227
800	36971	9185
801	37028	9141
802	37088	9098
803	37139	9054
804	37208	9013
805	37259	8968
806	37320	8925
807	37372	8880
808	37437	8838
809	37493	8794
810	37557	8752
811	37614	8708
812	37690	8669
813	37755	8627
814	37817	8584
815	37883	8542
816	37942	8498
817	38002	8455
818	38058	8410
819	38115	8366
820	38179	8324
821	38232	8279
822	38291	8235
823	38348	8190
824	38406	8146
825	38468	8103
826	38517	8057
827	38582	8014
828	38649	7972
829	38701	7926
830	38776	7886
831	38836	7841
832	38895	7797
833	38956	7753
834	39015	7709
835	39076	7665
836	39137	7621
837	39203	7578
838	39269	7535
839	39337	7492
840	39393	7447
841	39460	7404
842	39517	7359
843	39577	7315
844	39636	7270
845	39705	7227
846	39768	7183
847	39834	7140
848	39891	7094
849	39951	7050
850	40015	7006
851	40067	6960
852	40120	6914
853	40173	6868
854	40240	6824
855	40295	6778
856	40366	6735
857	40435	6692
858	40496	6647
859	40553	6601
860	40605	6555
861	40665	6510
862	40729	6465
863	40785	6419
864	40837	6373
865	40892	6327
866	40951	6282
867	40996	6234
868	41032	6185
869	41084	6138
870	41140	6093
871	41207	6048
872	41269	6003
873	41316	5956
874	41380	5911
875	41418	5862
876	41466	5815
877	41507	5767
878	41556	5720
879	41614	5674
880	41663	5627
881	41731	5583
882	41785	5536
883	41837	5490
884	41898	5444
885	41964	5399
886	42029	5354
887	42096	5309
888	42157	5263
889	42215	5217
890	42275	5171
891	42342	5126
892	42400	5080
893	42459	5034
894	42518	4988
895	42573	4941
896	42634	4895
897	42687	4848
898	42739	4801
899	42794	4754
900	42851	4708
901	42908	4661
902	42963	4615
903	43024	4568
904	43082	4522
905	43148	4476
906	43208	4430
907	43258	4383
908	43320	4336
909	43382	4290
910	43426	4242
911	43491	4196
912	43552	4150
913	43603	4102
914	43658	4055
915	43702	4007
916	43755	3960
917	43816	3913
918	43876	3867
919	43936	3820
920	43977	3772
921	44029	3724
922	44085	3677
923	44148	3631
924	44206	3584
925	44263	3537
926	44319	3490
927	44384	3443
928	44441	3396
929	44512	3350
930	44580	3304
931	44633	3256
932	44688	3209
933	44746	3161
934	44808	3115
935	44869	3067
936	44920	3020
937	44975	2972
938	45035	2925
939	45094	2878
940	45152	2831
941	45209	2783
942	45265	2736
943	45329	2689
944	45387	2641
945	45449	2594
946	45504	2546
947	45565	2499
948	45621	2451
949	45673	2403
950	45735	2356
951	45796	2309
952	45841	2260
953	45895	2212
954	45951	2165
955	46012	2117
956	46066	2069
957	46121	2022
958	46174	1974
959	46240	1926
960	46289	1878
961	46355	1831
962	46411	1783
963	46490	1736
964	46531	1687
965	46594	1639
966	46650	1591
967	46709	1544
968	46756	1495
969	46801	1447
970	46860	1399
971	46926	1351
972	46976	1303
973	47033	1255
974	47091	1207
975	47151	1159
976	47207	1111
977	47272	1063
978	47323	1015
979	47381	966
980	47438	918
981	47494	870
982	47550	822
983	47605	774
984	47675	726
985	47761	678
986	47813	629
987	47875	581
988	47934	533
989	47988	484
990	48048	436
991	48113	388
992	48167	339
993	48226	291
994	48279	242
995	48337	194
996	48389	145
997	48452	97
998	48515	48
999	48573	0
