iter	RMSE
0	10.86494936
1	10.13772338
2	9.462664757
3	8.83393307
4	8.259885551
5	7.713162172
6	7.198030365
7	6.730970672
8	6.292168355
9	5.885287895
10	5.498167816
11	5.139038926
12	4.808262972
13	4.499349087
14	4.203561385
15	3.935786703
16	3.674868504
17	3.434463035
18	3.210349339
19	3.00226882
20	2.808828997
21	2.62491946
22	2.457888928
23	2.304711985
24	2.157017752
25	2.018109662
26	1.886756296
27	1.765356478
28	1.653666628
29	1.551855484
30	1.453716315
31	1.362019027
32	1.278775437
33	1.202567264
34	1.129780164
35	1.061028648
36	0.9991590706
37	0.9393549047
38	0.8836712781
39	0.8306892988
40	0.7815471968
41	0.7351387223
42	0.6931243165
43	0.6532625672
44	0.6171980208
45	0.5831805819
46	0.5514553955
47	0.522129005
48	0.4949535221
49	0.4701453141
50	0.4468045677
51	0.4245277972
52	0.4038831571
53	0.3854459164
54	0.3688267227
55	0.3526171139
56	0.3391280477
57	0.3258801499
58	0.3137720985
59	0.3021447162
60	0.2916182424
61	0.2820095498
62	0.273271731
63	0.265597866
64	0.2584025222
65	0.2524142392
66	0.2467452263
67	0.241576177
68	0.2365442096
69	0.2318008111
70	0.2264350316
71	0.2224641096
72	0.218844182
73	0.2147738415
74	0.2112154407
75	0.2083473595
76	0.2055355413
77	0.2018661081
78	0.1983214046
79	0.1949146056
80	0.1919610289
81	0.1897109402
82	0.1874026638
83	0.1847676083
84	0.1819938785
85	0.179751185
86	0.1777751019
87	0.1761504141
88	0.1746092875
89	0.1724096909
90	0.1708808053
91	0.1693957953
92	0.1676451764
93	0.1658798401
94	0.1646730013
95	0.162423674
96	0.1604205763
97	0.1594363922
98	0.1583248591
99	0.1566142506
100	0.1551898305
101	0.1538440242
102	0.1524820476
103	0.1514553972
104	0.1505253084
105	0.1494325723
106	0.1486466089
107	0.1477983375
108	0.1467958246
109	0.1455167579
110	0.1443224823
111	0.1436847763
112	0.1425820263
113	0.1415406692
114	0.1409531502
115	0.1390851919
116	0.1383015771
117	0.1375471714
118	0.1369416127
119	0.1356298827
120	0.1350510849
121	0.1342697066
122	0.1337481123
123	0.1325890582
124	0.1317255275
125	0.1310952554
126	0.1305615969
127	0.1300797249
128	0.1291088928
129	0.1283679161
130	0.12759418
131	0.1270610819
132	0.1258464713
133	0.1251340738
134	0.1246179511
135	0.1236835745
136	0.123079557
137	0.1223725373
138	0.1213471928
139	0.1209032766
140	0.1204722482
141	0.1198276388
142	0.1190813617
143	0.1174293906
144	0.1166917061
145	0.1160257769
146	0.1152637599
147	0.1138110078
148	0.1134002795
149	0.1128240242
150	0.1121485718
151	0.1115737473
152	0.1099222345
153	0.108759509
154	0.108455201
155	0.1078701806
156	0.1069389861
157	0.1066644092
158	0.1054952078
159	0.1050114002
160	0.1041268333
161	0.1036597293
162	0.1030087132
163	0.1023497245
164	0.1019711343
165	0.1009144314
166	0.1005760151
167	0.1001988377
168	0.09926322376
169	0.09861080881
170	0.09815196426
171	0.09791885611
172	0.096975428
173	0.09626910837
174	0.09582828863
175	0.0952194471
176	0.09457219549
177	0.09429295468
178	0.09401830233
179	0.09353720313
180	0.09320864944
181	0.09273025249
182	0.09246185589
183	0.09163813063
184	0.09115674168
185	0.09078355599
186	0.08991291663
187	0.08958562046
188	0.08916393777
189	0.0887328163
190	0.08819904961
191	0.08798933816
192	0.08721234092
193	0.08657435372
194	0.08614199407
195	0.08566231611
196	0.08522028441
197	0.08480319507
198	0.08443672713
199	0.08402738847
200	0.08373328891
201	0.08307000813
202	0.08248349625
203	0.08229293153
204	0.08175326795
205	0.08159294483
206	0.08093803196
207	0.08050879635
208	0.0803856538
209	0.0798070057
210	0.07942111698
211	0.07903969021
212	0.0786688458
213	0.07836247639
214	0.07812776738
215	0.07779164375
216	0.07747348212
217	0.0771607225
218	0.07684659518
219	0.07656697587
220	0.07616291599
221	0.07578981445
222	0.07551797243
223	0.07523226157
224	0.07493974728
225	0.07467000818
226	0.07433347125
227	0.07397996712
228	0.07381133075
229	0.07323342976
230	0.07293738508
231	0.07276961173
232	0.07252411624
233	0.07229898752
234	0.07205876364
235	0.07176238616
236	0.07124028153
237	0.07096805489
238	0.07066693695
239	0.07015440767
240	0.06995091417
241	0.06972101662
242	0.06944784198
243	0.06899665227
244	0.0687690834
245	0.06838477138
246	0.06790701647
247	0.0677867305
248	0.067467582
249	0.0671611312
250	0.06698424572
251	0.06675161283
252	0.06660454931
253	0.06617565837
254	0.06594688442
255	0.06568905171
256	0.0655299702
257	0.06525083611
258	0.06503126906
259	0.06484486502
260	0.06461413645
261	0.06442648909
262	0.06418921405
263	0.06380112405
264	0.06348356854
265	0.06314108028
266	0.0628344051
267	0.0626175508
268	0.0624368932
269	0.06217859313
270	0.06197159068
271	0.06178406681
272	0.0616518145
273	0.06145607215
274	0.06130922863
275	0.06099334484
276	0.06079352405
277	0.06058813257
278	0.06031729177
279	0.06006238907
280	0.05984583104
281	0.05960248489
282	0.05946493147
283	0.05918492811
284	0.05901708197
285	0.05883157676
286	0.05863694353
287	0.05847024264
288	0.05830180257
289	0.05806269911
290	0.0578498944
291	0.05760178319
292	0.05742380592
293	0.05726490925
294	0.05712165625
295	0.05691955311
296	0.05681955484
297	0.05655837535
298	0.05637304542
299	0.05616304311
300	0.05595813385
301	0.0558360154
302	0.0556734722
303	0.05540263636
304	0.0551632229
305	0.05490996928
306	0.0547342764
307	0.05452681245
308	0.05439250226
309	0.05421442616
310	0.05402863812
311	0.05379544063
312	0.05370467418
313	0.05350712493
314	0.05329966618
315	0.05313823899
316	0.05297303448
317	0.05287687087
318	0.05270753255
319	0.05251851327
320	0.05244013366
321	0.05229951666
322	0.0521108106
323	0.05193894706
324	0.05177358548
325	0.05154645907
326	0.05143037384
327	0.05127860545
328	0.0511350188
329	0.05099151556
330	0.05077184036
331	0.0506097793
332	0.05050446676
333	0.05029248275
334	0.05013125462
335	0.0499596208
336	0.04986345588
337	0.04967743329
338	0.04956194401
339	0.04939962239
340	0.0492559348
341	0.04909398555
342	0.04898917238
343	0.048843643
344	0.04875341228
345	0.04868324015
346	0.04852916812
347	0.04842760617
348	0.04833088918
349	0.04824718697
350	0.04809957481
351	0.04803445475
352	0.04790084804
353	0.04771155616
354	0.04758870558
355	0.04748565943
356	0.04731917334
357	0.04720221614
358	0.04712682083
359	0.04698289731
360	0.04683005979
361	0.04667357718
362	0.04654847751
363	0.04643312944
364	0.04636554514
365	0.04624939932
366	0.04613633844
367	0.0460067451
368	0.04585774266
369	0.04579884357
370	0.04564611684
371	0.04553173525
372	0.04543035947
373	0.04529427675
374	0.04518160781
375	0.04508001951
376	0.04496135662
377	0.04484113656
378	0.04472440857
379	0.04461047987
380	0.04447976485
381	0.04433632898
382	0.04420111569
383	0.04410319211
384	0.04404992533
385	0.04391676118
386	0.04384295647
387	0.04373355798
388	0.04366366373
389	0.04355226961
390	0.04344976053
391	0.04335840512
392	0.04323133761
393	0.04314035038
394	0.04305514266
395	0.04291669466
396	0.04285336011
397	0.04275127281
398	0.0426338335
399	0.042519595
400	0.04237760923
401	0.04225477624
402	0.04211895056
403	0.04199764353
404	0.04188306217
405	0.04176630145
406	0.0416355067
407	0.04153430217
408	0.04142450776
409	0.04136478263
410	0.04127259533
411	0.04114542731
412	0.04103653036
413	0.04098186005
414	0.04088706332
415	0.04080983968
416	0.04075823213
417	0.04064031671
418	0.04054912293
419	0.04045079851
420	0.04035977883
421	0.04023306302
422	0.04014829016
423	0.04008086081
424	0.03998959807
425	0.0398754826
426	0.03976618684
427	0.03971435346
428	0.03960170791
429	0.03950645991
430	0.03942682561
431	0.03934134559
432	0.03923460524
433	0.03912922398
434	0.03903751858
435	0.03895816101
436	0.03888810009
437	0.0387901072
438	0.03867909278
439	0.03862846498
440	0.03856530186
441	0.03846660233
442	0.03839907941
443	0.03828861016
444	0.03821148776
445	0.03816010604
446	0.03810662947
447	0.0380171058
448	0.0379207092
449	0.03784952868
450	0.03774662848
451	0.0376560428
452	0.03757731531
453	0.0375048669
454	0.03742707208
455	0.03737418461
456	0.03730285171
457	0.03721605593
458	0.03715649499
459	0.03709022736
460	0.03703825658
461	0.0369644818
462	0.03686716325
463	0.03679872492
464	0.03673163195
465	0.03664258565
466	0.03655850701
467	0.03649860711
468	0.03641995385
469	0.03634608563
470	0.03625170532
471	0.03620346892
472	0.03613947924
473	0.03606107281
474	0.0359797758
475	0.03590826077
476	0.03582509087
477	0.03573959991
478	0.03567522687
479	0.0356242655
480	0.03555320731
481	0.03549285071
482	0.03544968318
483	0.03539582552
484	0.03531486386
485	0.03523048916
486	0.03518594031
487	0.03512410134
488	0.03506843457
489	0.03499665501
490	0.03493630322
491	0.03486997466
492	0.03481046451
493	0.03473662228
494	0.03462583652
495	0.03455695371
496	0.03448217073
497	0.03443002327
498	0.03437793523
499	0.03430759867
500	0.03424237778
501	0.03418201961
502	0.03410548772
503	0.03401816157
504	0.03395542935
505	0.03390255538
506	0.03382039788
507	0.03374203576
508	0.0337021259
509	0.03363330108
510	0.03356595743
511	0.03352167311
512	0.03344033357
513	0.03339851801
514	0.03334170334
515	0.03327189462
516	0.03321847305
517	0.03315681661
518	0.03310609946
519	0.03304005745
520	0.03298211057
521	0.03291432138
522	0.03284187645
523	0.03277750399
524	0.03271115956
525	0.03266785671
526	0.03260875302
527	0.03256871661
528	0.03250346589
529	0.03241117277
530	0.0323464115
531	0.03227404494
